"Region","Term","Trend","Std. error","T statistic","P value","Error structure"
"Maryland","Phi_harvest",-0.0471913040751493,0.0578370946366697,-0.815934900803768,0.427304973829411,"iid"
"Virginia","Phi_harvest",-0.0486619503532465,0.0176278094432541,-2.76052169215322,0.0145743412163077,"iid"
"Maryland","S_Portfolio",-0.00221976246305793,0.0140801488622661,-0.15765191723269,0.876833723557168,"iid"
"Virginia","S_Portfolio",-0.0429845453157248,0.00837856914674818,-5.13029666078577,0.000123160944512608,"iid"
