"Species","EDF","Ref. DF","F statistic","P value","Error structure"
"Atlantic croaker",3.84595667674348,4.75132860635993,12.0242729171113,0.000284993844655967,"iid"
"spot",1.00000000026322,1.0000000005013,0.00848205391275215,0.927843221201985,"iid"
"striped bass",1.2775886941933,1.50322295824455,32.1158549020664,2.11594867490783e-05,"iid"
