"Species","Trend","Std. error","T statistic","P value","Error structure"
"Atlantic croaker",-1130824.59268376,162802.097644609,-6.9460075087749,0,"iid"
"spot",-169459.618131488,46445.2057778452,-3.64859225604554,0.002,"iid"
"striped bass",-36925.8890642142,15175.105878258,-2.4333200282391,0.028,"iid"
