"Term","Trend","Std. error","T statistic","P value","Error structure"
"SAE_species",0.0290744219557913,0.00652191077966752,4.45796070170611,0.000460332376564978,"iid"
"CPE_species",0.0176851400755067,0.00578839601097818,3.05527473275245,0.00801674505184993,"AR(2)"
"CPE_harvests",-0.0243859017152728,0.0129211520571588,-1.88728540670351,0.0786269184505699,"AR(1)"
"SAE_harvests",-0.00545451461114176,0.00548472778919839,-0.994491398804489,0.335756641961321,"iid"
